Palavra: 'de', qtde: 84, %: 5.31
Palavra: 'e', qtde: 51, %: 3.23
Palavra: 'a', qtde: 40, %: 2.53
Palavra: '', qtde: 39, %: 2.47
Palavra: 'o', qtde: 32, %: 2.02
Palavra: 'em', qtde: 28, %: 1.77
Palavra: 'um', qtde: 28, %: 1.77
Palavra: 'que', qtde: 24, %: 1.52
Palavra: 'Hamilton', qtde: 20, %: 1.27
Palavra: 'Bundy', qtde: 20, %: 1.27
Palavra: 'para', qtde: 19, %: 1.20
Palavra: 'da', qtde: 18, %: 1.14
Palavra: 'do', qtde: 18, %: 1.14
Palavra: 'foi', qtde: 17, %: 1.08
Palavra: 'não', qtde: 16, %: 1.01
Palavra: 'na', qtde: 13, %: 0.82
Palavra: 'se', qtde: 13, %: 0.82
Palavra: 'com', qtde: 13, %: 0.82
Palavra: 'uma', qtde: 12, %: 0.76
Palavra: 'dos', qtde: 10, %: 0.63
Palavra: 'no', qtde: 9, %: 0.57
Palavra: 'Em', qtde: 9, %: 0.57
Palavra: 'por', qtde: 8, %: 0.51
Palavra: 'os', qtde: 8, %: 0.51
Palavra: 'mais', qtde: 7, %: 0.44
Palavra: 'as', qtde: 7, %: 0.44
Palavra: 'seu', qtde: 7, %: 0.44
Palavra: 'sua', qtde: 7, %: 0.44
Palavra: 'à', qtde: 7, %: 0.44
Palavra: 'mulheres', qtde: 7, %: 0.44
Palavra: 'O', qtde: 6, %: 0.38
Palavra: 'é', qtde: 6, %: 0.38
Palavra: 'Nova', qtde: 6, %: 0.38
Palavra: 'nos', qtde: 6, %: 0.38
Palavra: 'era', qtde: 6, %: 0.38
Palavra: 'Estados', qtde: 6, %: 0.38
Palavra: 'Unidos', qtde: 6, %: 0.38
Palavra: 'pela', qtde: 6, %: 0.38
Palavra: 'Alexander', qtde: 5, %: 0.32
Palavra: 'político', qtde: 5, %: 0.32
Palavra: 'ao', qtde: 5, %: 0.32
Palavra: 'sobre', qtde: 5, %: 0.32
Palavra: 'mas', qtde: 5, %: 0.32
Palavra: 'como', qtde: 5, %: 0.32
Palavra: 'quando', qtde: 5, %: 0.32
Palavra: 'Universidade', qtde: 5, %: 0.32
Palavra: 'Ele', qtde: 5, %: 0.32
Palavra: 'Ted', qtde: 5, %: 0.32
Palavra: 'onde', qtde: 5, %: 0.32
Palavra: 'até', qtde: 5, %: 0.32
Palavra: 'história', qtde: 4, %: 0.25
Palavra: 'americano', qtde: 4, %: 0.25
Palavra: 'peça', qtde: 4, %: 0.25
Palavra: 'Disney', qtde: 4, %: 0.25
Palavra: 'York', qtde: 4, %: 0.25
Palavra: 'já', qtde: 4, %: 0.25
Palavra: 'nas', qtde: 4, %: 0.25
Palavra: 'anos', qtde: 4, %: 0.25
Palavra: 'durante', qtde: 4, %: 0.25
Palavra: 'Washington', qtde: 4, %: 0.25
Palavra: 'primeiro', qtde: 4, %: 0.25
Palavra: 'morte', qtde: 4, %: 0.25
Palavra: 'estava', qtde: 4, %: 0.25
Palavra: 'carro', qtde: 4, %: 0.25
Palavra: 'serviço', qtde: 3, %: 0.19
Palavra: 'cidade', qtde: 3, %: 0.19
Palavra: 'principal', qtde: 3, %: 0.19
Palavra: 'contribuiu', qtde: 3, %: 0.19
Palavra: 'ele', qtde: 3, %: 0.19
Palavra: 'independência', qtde: 3, %: 0.19
Palavra: 'pelo', qtde: 3, %: 0.19
Palavra: 'George', qtde: 3, %: 0.19
Palavra: 'foram', qtde: 3, %: 0.19
Palavra: 'Depois', qtde: 3, %: 0.19
Palavra: 'época', qtde: 3, %: 0.19
Palavra: 'ano', qtde: 3, %: 0.19
Palavra: 'teve', qtde: 3, %: 0.19
Palavra: 'Jefferson', qtde: 3, %: 0.19
Palavra: 'Burr', qtde: 3, %: 0.19
Palavra: 'antes', qtde: 3, %: 0.19
Palavra: 'Stephanie', qtde: 3, %: 0.19
Palavra: 'depois', qtde: 3, %: 0.19
Palavra: 'Flórida', qtde: 3, %: 0.19
Palavra: 'policial', qtde: 3, %: 0.19
Palavra: 'produção', qtde: 2, %: 0.13
Palavra: 'chegou', qtde: 2, %: 0.13
Palavra: 'longa', qtde: 2, %: 0.13
Palavra: 'streaming', qtde: 2, %: 0.13
Palavra: 'filme', qtde: 2, %: 0.13
Palavra: 'gravadas', qtde: 2, %: 0.13
Palavra: 'sem', qtde: 2, %: 0.13
Palavra: 'há', qtde: 2, %: 0.13
Palavra: 'canção', qtde: 2, %: 0.13
Palavra: 'Os', qtde: 2, %: 0.13
Palavra: 'também', qtde: 2, %: 0.13
Palavra: 'atores', qtde: 2, %: 0.13
Palavra: 'início', qtde: 2, %: 0.13
Palavra: 'Thomas', qtde: 2, %: 0.13
Palavra: 'ainda', qtde: 2, %: 0.13
Palavra: 'segundo', qtde: 2, %: 0.13
Palavra: 'semestre', qtde: 2, %: 0.13
Palavra: 'verdadeira', qtde: 2, %: 0.13
Palavra: 'você', qtde: 2, %: 0.13
Palavra: 'desse', qtde: 2, %: 0.13
Palavra: 'nasceu', qtde: 2, %: 0.13
Palavra: 'EUA', qtde: 2, %: 0.13
Palavra: 'inteligente', qtde: 2, %: 0.13
Palavra: 'chefe', qtde: 2, %: 0.13
Palavra: 'Cruger', qtde: 2, %: 0.13
Palavra: 'garoto', qtde: 2, %: 0.13
Palavra: 'jovem', qtde: 2, %: 0.13
Palavra: 'tinha', qtde: 2, %: 0.13
Palavra: 'matriculou', qtde: 2, %: 0.13
Palavra: 'política', qtde: 2, %: 0.13
Palavra: 'nomeado', qtde: 2, %: 0.13
Palavra: 'havia', qtde: 2, %: 0.13
Palavra: 'após', qtde: 2, %: 0.13
Palavra: 'fundação', qtde: 2, %: 0.13
Palavra: 'Banco', qtde: 2, %: 0.13
Palavra: 'secretário', qtde: 2, %: 0.13
Palavra: 'nessa', qtde: 2, %: 0.13
